,0,1
10,bad-boy,"

Ah...
Baby come back...
Ayo choice, drop it on me

I was too harsh that night
I didn’t know you would really leave
The words, “I’m sorry”, is too difficult for us
That we take it to the end because I’m ill-tempered
We fight over stupid things numerous times a day
You take off crying, I look around and think
‘She’ll come back tomorrow
She’ll def call me first in the morning’

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

You’re different from normal boys, it’s so hard
You’re still so sensitive like a girl
Who is always smiling next to me, next to you I’m still too young
With the excuse that I’m busy, I postpone our date
Because I’m sorry, because I’m frustrated, I turn my head
The bride in my dreams is just a friend now
Upset over the breakup, we are silent

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Don’t say a thing
I act tough but I’m not inside
Don’t abandon me
You know that there’s no one
Who will understand me like you
Baby Oh you, come back to me ye ye ye

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

"
11,blue,"

[Pre-Chorus: G-Dragon]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 1: G-Dragon, Daesung]
Under the same sky, at different places
Because you and I are dangerous
I am leaving you, one letter difference from ‘nim’
It’s cowardly but I’m hiding because I’m not good enough
Cruel breakup is like the end of the road of love
No words can comfort me
Perhaps my lifetime’s last melodrama
Now its final curtain is coming down

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even with my eyes closed, I can’t feel you

[Pre-Chorus: Taeyang]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 2: T.O.P, Taeyang]
I feel like my heart has stopped beating
You and I, frozen there, after a war
Trauma that has been carved in my head
Once these tears dry up, I will moistly remember my love
I’m neither painful nor lonely, happiness is all self-talk
I can’t stand something more complicated
It’s no big deal, I don’t care
Inevitable wandering, people come and go

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even if you have left, I’m still here

[Pre-Chorus: Daesung]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Bridge: Taeyang]
Again tonight, underneath that blue moonlight
I will probably fall asleep alone
Even in my dreams, I look for you
And wander around while singing this song

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

"
12,love-dust,"

My friend talked about you
When he said you looked good, I got pointlessly angry
Maybe I still wanted you
To suffer because of me

These days, without knowing
I sing the songs we used to listen to together
On days like this when I’m locked in old memories
On nights when I miss you for no reason

I was too young back then
Love was hard so I tried to avoid you
It was too much pressure for me and so I was unhappy
So eventually, I made you cry

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

Do you remember the day we first met?
Innocent smiles filled with Sauvignon Blanc
My submission to you without reason
Sometimes, our strong clashes
When separation became our fate-like reality
My last wrath

I hear stories from the radio
That I agree with
It’s exactly how I feel right now
I wonder if the story was sent by you as I fall asleep
Time passes so fast – I wonder if you’re doing well

I was too young back then
Love was hard so I tried to escape
Eventually it was too much pressure so I became unhappy
Although now it’s too late

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

If we ever run into each other
On the streets
I hope we will look happy as we smile
Each with a different person
So long

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

"
13,fantastic-baby,"

[Verse 1: G-Dragon]
Come together, everyone gather here
We gon’ party like lilililalala
Open your hearts, empty your minds
Set the fire lilililalala

[Verse 2: Taeyang]
Don’t ask for the answer
But just take it as it is
Go with the flow alright
Face the sky and put your two hands up
Up high, wanna jump around oh

[Chorus: G-Dragon & Seungri]
Nanananana nanananana~
Wow Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Wow Fantastic Baby~

[Verse 3: G-Dragon]
In this crazy house, HEY
At the end, it’s the king’s turn HEY
The ground is shaking
And 3 minutes is not enough for this race, wait
The atmosphere is overheated (Huh)
Catch Me On Fire (Huh)
The Real has appeared nananana

[Verse 4: T.O.P]
From one to ten, everything is one level above
Even if we crazily run on sand, we’re still so agile
Because the sky is blue enough
Don’t ask any questions, just feel it – feel who I am

[Pre-Chorus: Taeyang & Daesung]
Jump at the sound of your heartbeat
Till this comes to an end yeah
I can't, baby don't stop this
Just go corrupt today
Go crazy and rave
Let's go~

[Chorus: G-Dragon & Seungri]
Nanananana nanananana~
Wow Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Wow Fantastic Baby~

[Post-Chorus: T.O.P]
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Dance Dance Dance Da-Dance
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Da-Da-Da-Da Dance Dance~

[Verse 5: Seungri]
Catch me if you can, I’m forever a performer
There are no constraints for me tonight ~
Mama Just Let Me Be Your Lover
Past this chaos nananana~

[Verse 6: T.O.P & G-Dragon]
From my head to my toes, there’s a visual shock
People know me for my senses that are always ahead
My footsteps are faster than others
My youth is a different dimension
Ice ice ice Hold Up nananana

[Pre-Chorus: Taeyang & Daesung]
Jump at the sound of your heartbeat
Till this comes to an end yeah
I can't, baby don't stop this
Just go corrupt today
Go crazy and rave
Let's go~

[Chorus: G-Dragon & Seungri]
Nanananana nanananana~
Wow Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Wow Fantastic Baby~

[Post-Chorus: T.O.P]
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Dance Dance Dance Da-Dance
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Da-Da-Da-Da Dance Dance~

[Outro: G-Dragon]
Let’s all play together (Yea Yea Yeah!)
Let’s all jump together (Yea Yea Yeah!)
Let’s all go crazy together (Yea Yea Yeah!)
Let’s all go together (Yea Yea Yeah!)
Wow Fantastic Baby

"
14,blue,"

[Pre-Chorus: G-Dragon]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 1: G-Dragon, Daesung]
Under the same sky, at different places
Because you and I are dangerous
I am leaving you, one letter difference from ‘nim’
It’s cowardly but I’m hiding because I’m not good enough
Cruel breakup is like the end of the road of love
No words can comfort me
Perhaps my lifetime’s last melodrama
Now its final curtain is coming down

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even with my eyes closed, I can’t feel you

[Pre-Chorus: Taeyang]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 2: T.O.P, Taeyang]
I feel like my heart has stopped beating
You and I, frozen there, after a war
Trauma that has been carved in my head
Once these tears dry up, I will moistly remember my love
I’m neither painful nor lonely, happiness is all self-talk
I can’t stand something more complicated
It’s no big deal, I don’t care
Inevitable wandering, people come and go

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even if you have left, I’m still here

[Pre-Chorus: Daesung]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Bridge: Taeyang]
Again tonight, underneath that blue moonlight
I will probably fall asleep alone
Even in my dreams, I look for you
And wander around while singing this song

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

"
15,love-dust,"

My friend talked about you
When he said you looked good, I got pointlessly angry
Maybe I still wanted you
To suffer because of me

These days, without knowing
I sing the songs we used to listen to together
On days like this when I’m locked in old memories
On nights when I miss you for no reason

I was too young back then
Love was hard so I tried to avoid you
It was too much pressure for me and so I was unhappy
So eventually, I made you cry

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

Do you remember the day we first met?
Innocent smiles filled with Sauvignon Blanc
My submission to you without reason
Sometimes, our strong clashes
When separation became our fate-like reality
My last wrath

I hear stories from the radio
That I agree with
It’s exactly how I feel right now
I wonder if the story was sent by you as I fall asleep
Time passes so fast – I wonder if you’re doing well

I was too young back then
Love was hard so I tried to escape
Eventually it was too much pressure so I became unhappy
Although now it’s too late

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

If we ever run into each other
On the streets
I hope we will look happy as we smile
Each with a different person
So long

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

"
16,bad-boy,"

Ah...
Baby come back...
Ayo choice, drop it on me

I was too harsh that night
I didn’t know you would really leave
The words, “I’m sorry”, is too difficult for us
That we take it to the end because I’m ill-tempered
We fight over stupid things numerous times a day
You take off crying, I look around and think
‘She’ll come back tomorrow
She’ll def call me first in the morning’

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

You’re different from normal boys, it’s so hard
You’re still so sensitive like a girl
Who is always smiling next to me, next to you I’m still too young
With the excuse that I’m busy, I postpone our date
Because I’m sorry, because I’m frustrated, I turn my head
The bride in my dreams is just a friend now
Upset over the breakup, we are silent

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Don’t say a thing
I act tough but I’m not inside
Don’t abandon me
You know that there’s no one
Who will understand me like you
Baby Oh you, come back to me ye ye ye

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

"
17,blue,"

[Pre-Chorus: G-Dragon]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 1: G-Dragon, Daesung]
Under the same sky, at different places
Because you and I are dangerous
I am leaving you, one letter difference from ‘nim’
It’s cowardly but I’m hiding because I’m not good enough
Cruel breakup is like the end of the road of love
No words can comfort me
Perhaps my lifetime’s last melodrama
Now its final curtain is coming down

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even with my eyes closed, I can’t feel you

[Pre-Chorus: Taeyang]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 2: T.O.P, Taeyang]
I feel like my heart has stopped beating
You and I, frozen there, after a war
Trauma that has been carved in my head
Once these tears dry up, I will moistly remember my love
I’m neither painful nor lonely, happiness is all self-talk
I can’t stand something more complicated
It’s no big deal, I don’t care
Inevitable wandering, people come and go

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even if you have left, I’m still here

[Pre-Chorus: Daesung]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Bridge: Taeyang]
Again tonight, underneath that blue moonlight
I will probably fall asleep alone
Even in my dreams, I look for you
And wander around while singing this song

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

"
18,love-dust,"

My friend talked about you
When he said you looked good, I got pointlessly angry
Maybe I still wanted you
To suffer because of me

These days, without knowing
I sing the songs we used to listen to together
On days like this when I’m locked in old memories
On nights when I miss you for no reason

I was too young back then
Love was hard so I tried to avoid you
It was too much pressure for me and so I was unhappy
So eventually, I made you cry

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

Do you remember the day we first met?
Innocent smiles filled with Sauvignon Blanc
My submission to you without reason
Sometimes, our strong clashes
When separation became our fate-like reality
My last wrath

I hear stories from the radio
That I agree with
It’s exactly how I feel right now
I wonder if the story was sent by you as I fall asleep
Time passes so fast – I wonder if you’re doing well

I was too young back then
Love was hard so I tried to escape
Eventually it was too much pressure so I became unhappy
Although now it’s too late

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

If we ever run into each other
On the streets
I hope we will look happy as we smile
Each with a different person
So long

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

"
19,bad-boy,"

Ah...
Baby come back...
Ayo choice, drop it on me

I was too harsh that night
I didn’t know you would really leave
The words, “I’m sorry”, is too difficult for us
That we take it to the end because I’m ill-tempered
We fight over stupid things numerous times a day
You take off crying, I look around and think
‘She’ll come back tomorrow
She’ll def call me first in the morning’

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

You’re different from normal boys, it’s so hard
You’re still so sensitive like a girl
Who is always smiling next to me, next to you I’m still too young
With the excuse that I’m busy, I postpone our date
Because I’m sorry, because I’m frustrated, I turn my head
The bride in my dreams is just a friend now
Upset over the breakup, we are silent

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Don’t say a thing
I act tough but I’m not inside
Don’t abandon me
You know that there’s no one
Who will understand me like you
Baby Oh you, come back to me ye ye ye

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

"
20,fantastic-baby,"

[Verse 1: G-Dragon]
Come together, everyone gather here
We gon’ party like lilililalala
Open your hearts, empty your minds
Set the fire lilililalala

[Verse 2: Taeyang]
Don’t ask for the answer
But just take it as it is
Go with the flow alright
Face the sky and put your two hands up
Up high, wanna jump around oh

[Chorus: G-Dragon & Seungri]
Nanananana nanananana~
Wow Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Wow Fantastic Baby~

[Verse 3: G-Dragon]
In this crazy house, HEY
At the end, it’s the king’s turn HEY
The ground is shaking
And 3 minutes is not enough for this race, wait
The atmosphere is overheated (Huh)
Catch Me On Fire (Huh)
The Real has appeared nananana

[Verse 4: T.O.P]
From one to ten, everything is one level above
Even if we crazily run on sand, we’re still so agile
Because the sky is blue enough
Don’t ask any questions, just feel it – feel who I am

[Pre-Chorus: Taeyang & Daesung]
Jump at the sound of your heartbeat
Till this comes to an end yeah
I can't, baby don't stop this
Just go corrupt today
Go crazy and rave
Let's go~

[Chorus: G-Dragon & Seungri]
Nanananana nanananana~
Wow Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Wow Fantastic Baby~

[Post-Chorus: T.O.P]
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Dance Dance Dance Da-Dance
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Da-Da-Da-Da Dance Dance~

[Verse 5: Seungri]
Catch me if you can, I’m forever a performer
There are no constraints for me tonight ~
Mama Just Let Me Be Your Lover
Past this chaos nananana~

[Verse 6: T.O.P & G-Dragon]
From my head to my toes, there’s a visual shock
People know me for my senses that are always ahead
My footsteps are faster than others
My youth is a different dimension
Ice ice ice Hold Up nananana

[Pre-Chorus: Taeyang & Daesung]
Jump at the sound of your heartbeat
Till this comes to an end yeah
I can't, baby don't stop this
Just go corrupt today
Go crazy and rave
Let's go~

[Chorus: G-Dragon & Seungri]
Nanananana nanananana~
Wow Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Fantastic Baby~
Dance! (Ooh-hoo~)
I Wanna Dance Dance Dance Da-Dance
Wow Fantastic Baby~

[Post-Chorus: T.O.P]
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Dance Dance Dance Da-Dance
BOOM! Shakalaka! BOOM! Shakalaka! BOOM! Shakalaka!
Da-Da-Da-Da Dance Dance~

[Outro: G-Dragon]
Let’s all play together (Yea Yea Yeah!)
Let’s all jump together (Yea Yea Yeah!)
Let’s all go crazy together (Yea Yea Yeah!)
Let’s all go together (Yea Yea Yeah!)
Wow Fantastic Baby

"
21,blue,"

[Pre-Chorus: G-Dragon]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 1: G-Dragon, Daesung]
Under the same sky, at different places
Because you and I are dangerous
I am leaving you, one letter difference from ‘nim’
It’s cowardly but I’m hiding because I’m not good enough
Cruel breakup is like the end of the road of love
No words can comfort me
Perhaps my lifetime’s last melodrama
Now its final curtain is coming down

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even with my eyes closed, I can’t feel you

[Pre-Chorus: Taeyang]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

[Verse 2: T.O.P, Taeyang]
I feel like my heart has stopped beating
You and I, frozen there, after a war
Trauma that has been carved in my head
Once these tears dry up, I will moistly remember my love
I’m neither painful nor lonely, happiness is all self-talk
I can’t stand something more complicated
It’s no big deal, I don’t care
Inevitable wandering, people come and go

I was born and I met you and I have loved you to death
My cold heart that has been dyed blue
Even if you have left, I’m still here

[Pre-Chorus: Daesung]
The winter had passed and the spring has come
We have withered and our hearts are bruised from longing

[Bridge: Taeyang]
Again tonight, underneath that blue moonlight
I will probably fall asleep alone
Even in my dreams, I look for you
And wander around while singing this song

[Chorus: G-Dragon, Seungri]
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh
(I’m singing my blues)
Used to the blue tears, blue sorrow
(I’m singing my blues)
The love that I have sent away with the floating clouds oh oh

"
22,love-dust,"

My friend talked about you
When he said you looked good, I got pointlessly angry
Maybe I still wanted you
To suffer because of me

These days, without knowing
I sing the songs we used to listen to together
On days like this when I’m locked in old memories
On nights when I miss you for no reason

I was too young back then
Love was hard so I tried to avoid you
It was too much pressure for me and so I was unhappy
So eventually, I made you cry

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

Do you remember the day we first met?
Innocent smiles filled with Sauvignon Blanc
My submission to you without reason
Sometimes, our strong clashes
When separation became our fate-like reality
My last wrath

I hear stories from the radio
That I agree with
It’s exactly how I feel right now
I wonder if the story was sent by you as I fall asleep
Time passes so fast – I wonder if you’re doing well

I was too young back then
Love was hard so I tried to escape
Eventually it was too much pressure so I became unhappy
Although now it’s too late

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

If we ever run into each other
On the streets
I hope we will look happy as we smile
Each with a different person
So long

When today passes, you will disappear like dust –
What is love?
If I look sad, my tears are like smoke
Like dancing smoke

Tomorrow, my day will start like nothing is wrong
And I will forget you
I’ll just remain here, smiling
As I pray that you will be happy

"
23,bad-boy,"

Ah...
Baby come back...
Ayo choice, drop it on me

I was too harsh that night
I didn’t know you would really leave
The words, “I’m sorry”, is too difficult for us
That we take it to the end because I’m ill-tempered
We fight over stupid things numerous times a day
You take off crying, I look around and think
‘She’ll come back tomorrow
She’ll def call me first in the morning’

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

You’re different from normal boys, it’s so hard
You’re still so sensitive like a girl
Who is always smiling next to me, next to you I’m still too young
With the excuse that I’m busy, I postpone our date
Because I’m sorry, because I’m frustrated, I turn my head
The bride in my dreams is just a friend now
Upset over the breakup, we are silent

Baby, I can’t, I’m so bad that
I want to be good to you but it’s hard
Everyday and night I’m so mean
Cuz I’m so real so I’m sorry
(But I can’t change)

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Don’t say a thing
I act tough but I’m not inside
Don’t abandon me
You know that there’s no one
Who will understand me like you
Baby Oh you, come back to me ye ye ye

Me, whom you love, Sorry I’m a bad boy
Yes, just leave me, goodbye, you’re a good girl
The more time passes, the more you get to know me
Only disappointments will remain but

Baby don’t leave me
I know you still love me
Why, yes, I’ll tell you the truth, I need you
My lay lay lay lay lady
My lay lay lay lay lady

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

Me, whom you love
Sorry I’m a bad boy
Sorry I’m a bad boy
Sorry I’m a bad boy

Yes, just leave me, good bye
You’re a good girl
You’re a good girl
You’re a good girl

"
24,wings,"

Today, on a day like this, she says
We should break up and she’s sorry – on our anniversary
Today, I am squeezed between many people
As I hang my head low, I try to avoid them (I hate myself for being this way)

Today, it’s okay, shout out louder yeah – good things will happen
It’s alright for tonight since it’s so beautiful so cry louder yeah
I will hug you, at this moment just fly high and jump
Woo hoo woo – right now

Today, when it gets really lonely, I get crazily sad
But no one understands, what to do?
Today, I think, why am I the only one who’s suffering like this?
Saying that everyone is happy are all lies – I won’t believe it – say 1, 2

Today, it’s okay, shout out louder yeah – good things will happen
It’s alright for tonight since it’s so beautiful so cry louder yeah
I will hug you, at this moment just fly high and jump

I will become a sad protagonist in this world
And I will hurt in place of you, I’ll become your wings
I believe you, I believe you
Believe in me, believe in me
Because everything will pass

Today, it’s okay, shout out louder yeah – good things will happen
It’s alright for tonight since it’s so beautiful so cry louder yeah
I will hug you, at this moment just fly high and jump

"
